,Open,High,Low,Close
2013-03-06 07:15:00,1.51335,1.51346,1.51275,1.51275
2013-03-06 07:30:00,1.51275,1.51356,1.51265,1.51286
2013-03-06 07:45:00,1.51283,1.51289,1.5121,1.51254
2013-03-06 08:00:00,1.51215,1.51278,1.51192,1.51221
2013-03-06 08:15:00,1.5118,1.51223,1.51093,1.51217
2013-03-06 08:30:00,1.51221,1.51241,1.51146,1.51162
2013-03-06 08:45:00,1.51167,1.51167,1.51073,1.51157
2013-03-06 09:00:00,1.51133,1.51223,1.51062,1.51062
2013-03-06 09:15:00,1.51064,1.51111,1.51003,1.51111
2013-03-06 09:30:00,1.51106,1.51106,1.50878,1.50897
2013-03-06 09:45:00,1.50895,1.50965,1.50862,1.50953
2013-03-06 10:00:00,1.5092,1.50933,1.50767,1.50769
2013-03-06 10:15:00,1.50777,1.50844,1.50662,1.50662
2013-03-06 10:30:00,1.50749,1.50817,1.50749,1.50816
2013-03-06 10:45:00,1.50817,1.50876,1.50809,1.5084
2013-03-06 11:00:00,1.50824,1.50909,1.50783,1.50909
2013-03-06 11:15:00,1.50906,1.50953,1.50866,1.50866
2013-03-06 11:30:00,1.50865,1.50991,1.50863,1.50969
2013-03-06 11:45:00,1.50994,1.51054,1.50994,1.50995
2013-03-06 12:00:00,1.5099,1.50995,1.5091,1.5091
2013-03-06 12:15:00,1.50932,1.51019,1.5091,1.50916
2013-03-06 12:30:00,1.50968,1.50973,1.50925,1.50941
2013-03-06 12:45:00,1.50928,1.5097,1.50914,1.5097
2013-03-06 13:00:00,1.50972,1.50981,1.50859,1.50859
2013-03-06 13:15:00,1.50869,1.50935,1.50868,1.50935
2013-03-06 13:30:00,1.50757,1.50757,1.50612,1.50749
2013-03-06 13:45:00,1.5073,1.50816,1.5073,1.50785
2013-03-06 14:00:00,1.50824,1.50846,1.50785,1.50834
2013-03-06 14:15:00,1.50815,1.50819,1.50761,1.50765
2013-03-06 14:30:00,1.50723,1.5076,1.50685,1.5072
2013-03-06 14:45:00,1.5072,1.5075,1.50655,1.50681
2013-03-06 15:00:00,1.50655,1.50685,1.50634,1.50663
2013-03-06 15:15:00,1.5057,1.50601,1.50512,1.50537
2013-03-06 15:30:00,1.50543,1.5059,1.50423,1.50521
2013-03-06 15:45:00,1.50511,1.50626,1.50473,1.50626
2013-03-06 16:00:00,1.50601,1.50625,1.50547,1.50547
2013-03-06 16:15:00,1.50543,1.50586,1.50543,1.50575
2013-03-06 16:30:00,1.50583,1.50606,1.50479,1.50479
2013-03-06 16:45:00,1.50492,1.5055,1.50457,1.50481
2013-03-06 17:00:00,1.50473,1.50473,1.50356,1.50356
2013-03-06 17:15:00,1.50362,1.50373,1.50225,1.50225
2013-03-06 17:30:00,1.50216,1.50266,1.50203,1.50215
2013-03-06 17:45:00,1.50235,1.50247,1.50201,1.50231
2013-03-06 18:00:00,1.50232,1.50263,1.50181,1.50209
2013-03-06 18:15:00,1.50206,1.50321,1.50194,1.503
2013-03-06 18:30:00,1.50297,1.50346,1.50297,1.50332
2013-03-06 18:45:00,1.5032,1.5033,1.50292,1.50297
2013-03-06 19:00:00,1.50295,1.5036,1.50285,1.5036
2013-03-06 19:15:00,1.50344,1.504,1.50312,1.50345
2013-03-06 19:30:00,1.50343,1.50371,1.50335,1.50344
2013-03-06 19:45:00,1.50345,1.50412,1.50345,1.50402
2013-03-06 20:00:00,1.50399,1.50416,1.50382,1.50416
2013-03-06 20:15:00,1.50391,1.50391,1.50353,1.50353
2013-03-06 20:30:00,1.50357,1.50366,1.50342,1.50348
2013-03-06 20:45:00,1.50347,1.50347,1.50311,1.50335
2013-03-06 21:00:00,1.5032,1.50332,1.503,1.50332
2013-03-06 21:15:00,1.50313,1.50345,1.50312,1.50345
2013-03-06 21:30:00,1.50334,1.5035,1.50324,1.50326
2013-03-06 21:45:00,1.5032,1.5033,1.50252,1.50271
2013-03-06 22:00:00,1.50294,1.50334,1.5018,1.50192
2013-03-06 22:15:00,1.50479,1.50479,1.50168,1.50183
2013-03-06 22:30:00,1.50184,1.5019,1.5006,1.5006
2013-03-06 22:45:00,1.50076,1.50077,1.49826,1.49882
2013-03-06 23:00:00,1.49857,1.49931,1.49778,1.49848
2013-03-06 23:15:00,1.49893,1.49919,1.49845,1.49845
